,Date,Gold,Silver,SP500,Median Home Price (NSA),Oil,bonds10Y,Inflation percentile,Growth percentile
12607,2015-04-27,1182.75,15.84,2108.8345454545456,208686.1209090909,4966514.46875,1.94,-30.355805243445694,-16.288389513108616
12608,2015-04-28,1201.4,16.32,2109.610909090909,208825.04727272727,4950066.828125,2.0,-30.348314606741575,-16.303370786516854
12609,2015-04-29,1204.8,16.48,2110.387272727273,208963.97363636363,4933619.1875,2.06,-30.34082397003745,-16.318352059925093
12610,2015-04-30,1204.3,16.52,2111.163636363636,209102.9,4917171.546875,2.05,-30.333333333333332,-16.333333333333332
12611,2015-05-01,1179.0,16.17,2111.94,209241.82636363636,4900723.90625,2.12,-30.325842696629213,-16.348314606741575
16391,2015-05-04,1183.2,16.295,2111.3075,209380.75272727272,4884276.265625,2.16,-30.318352059925093,-16.363295880149813
12612,2015-05-05,1187.4,16.42,2110.675,209519.67909090908,4867828.625,2.19,-30.310861423220974,-16.378277153558052
12613,2015-05-06,1191.25,16.41,2110.0425,209658.60545454544,4851380.984375,2.25,-30.303370786516854,-16.39325842696629
12614,2015-05-07,1183.0,16.35,2109.41,209797.5318181818,4834933.34375,2.18,-30.295880149812735,-16.408239700374533
12615,2015-05-08,1185.25,16.31,2108.7775,209936.4581818182,4818485.703125,2.16,-30.288389513108616,-16.423220973782772
12616,2015-05-11,1184.75,16.39,2108.145,210075.38454545455,4802038.0625,2.28,-30.280898876404493,-16.43820224719101
12617,2015-05-12,1184.45,16.46,2107.5125,210214.3109090909,4785590.421875,2.28,-30.273408239700373,-16.45318352059925
12618,2015-05-13,1193.0,16.65,2106.88,210353.23727272727,4769142.78125,2.27,-30.265917602996254,-16.468164794007492
12619,2015-05-14,1214.75,17.4,2106.2475,210492.16363636364,4752695.140625,2.23,-30.258426966292134,-16.48314606741573
12620,2015-05-15,1216.3,17.25,2105.615,210631.09,4736247.5,2.14,-30.250936329588015,-16.49812734082397
12621,2015-05-18,1228.15,17.7,2104.9825,210730.567,4719799.859375,2.23,-30.243445692883896,-16.51310861423221
12622,2015-05-19,1219.65,17.4,2104.35,210830.044,4703352.21875,2.27,-30.235955056179776,-16.528089887640448
12623,2015-05-20,1206.75,17.07,2103.7175,210929.521,4686904.578125,2.26,-30.228464419475657,-16.54307116104869
12624,2015-05-21,1209.6,17.18,2103.085,211028.998,4670456.9375,2.19,-30.220973782771537,-16.55805243445693
12625,2015-05-22,1211.0,17.25,2102.4525,211128.475,4654009.296875,2.21,-30.213483146067414,-16.573033707865168
12626,2015-05-26,1194.0,16.79,2101.82,211227.952,4637561.65625,2.14,-30.205992509363295,-16.588014981273407
12627,2015-05-27,1187.85,16.66,2101.1875,211327.429,4621114.015625,2.14,-30.198501872659175,-16.60299625468165
12628,2015-05-28,1189.45,16.68,2100.555,211426.906,4604666.375,2.13,-30.191011235955056,-16.617977528089888
12629,2015-05-29,1190.4,16.67,2099.9225,211526.383,4588218.734375,2.12,-30.183520599250937,-16.632958801498127
12630,2015-06-01,1187.3,16.61,2099.29,211625.86,4571771.09375,2.19,-30.176029962546817,-16.647940074906366
12631,2015-06-02,1188.75,16.7,2099.055909090909,211725.337,4555323.453125,2.27,-30.168539325842698,-16.662921348314608
12632,2015-06-03,1186.6,16.6,2098.8218181818183,211824.814,4538875.8125,2.38,-30.16104868913858,-16.677902621722847
12633,2015-06-04,1182.45,16.47,2098.587727272727,211924.291,4522428.171875,2.31,-30.153558052434455,-16.692883895131086
